file,vars,vector_lengths,rpm,status
source_domain\cwru_48khz_de\OR007@3_3.mat,"X151_DE_time:(192000, 1):double | X151_FE_time:(192000, 1):double | X151RPM:(1, 1):double",192000;192000;1,1724.000,OK
source_domain\cwru_48khz_de\OR007@6_0.mat,"X135_DE_time:(192000, 1):double | X135_FE_time:(192000, 1):double | X135RPM:(1, 1):double",192000;192000;1,1796.000,OK
source_domain\cwru_48khz_de\OR007@6_1.mat,"X136_DE_time:(192000, 1):double | X136_FE_time:(192000, 1):double | X136RPM:(1, 1):double",192000;192000;1,1774.000,OK
source_domain\cwru_48khz_de\OR007@6_2.mat,"X137_DE_time:(192000, 1):double | X137_FE_time:(192000, 1):double | X137RPM:(1, 1):double",192000;192000;1,1750.000,OK
source_domain\cwru_48khz_de\OR007@6_3.mat,"X138_DE_time:(192000, 1):double | X138_FE_time:(192000, 1):double | X138RPM:(1, 1):double",192000;192000;1,1725.000,OK
source_domain\cwru_48khz_de\OR014@6_0.mat,"X201_DE_time:(192000, 1):double | X201_FE_time:(192000, 1):double | X201RPM:(1, 1):double",192000;192000;1,1796.000,OK
source_domain\cwru_48khz_de\OR014@6_1.mat,"X202_DE_time:(192000, 1):double | X202_FE_time:(192000, 1):double | X202RPM:(1, 1):double",192000;192000;1,1772.000,OK
source_domain\cwru_48khz_de\OR014@6_2.mat,"X203_DE_time:(192000, 1):double | X203_FE_time:(192000, 1):double | X203RPM:(1, 1):double",192000;192000;1,1749.000,OK
source_domain\cwru_48khz_de\OR014@6_3.mat,"X204_DE_time:(192000, 1):double | X204_FE_time:(192000, 1):double | X204RPM:(1, 1):double",192000;192000;1,1723.000,OK
source_domain\cwru_48khz_de\OR021@12_0.mat,"X262_DE_time:(130549, 1):double | X262_FE_time:(130549, 1):double | X262RPM:(1, 1):double",130549;130549;1,1796.000,OK
source_domain\cwru_48khz_de\OR021@12_1.mat,"X263_DE_time:(192000, 1):double | X263_FE_time:(192000, 1):double | X263RPM:(1, 1):double",192000;192000;1,1771.000,OK
source_domain\cwru_48khz_de\OR021@12_2.mat,"X264_DE_time:(192000, 1):double | X264_FE_time:(192000, 1):double | X264RPM:(1, 1):double",192000;192000;1,1746.000,OK
source_domain\cwru_48khz_de\OR021@12_3.mat,"X265_DE_time:(192000, 1):double | X265_FE_time:(192000, 1):double | X265RPM:(1, 1):double",192000;192000;1,1718.000,OK
source_domain\cwru_48khz_de\OR021@3_0.mat,"X250_DE_time:(128663, 1):double | X250_FE_time:(128663, 1):double | X250RPM:(1, 1):double",128663;128663;1,1796.000,OK
source_domain\cwru_48khz_de\OR021@3_1.mat,"X251_DE_time:(192000, 1):double | X251_FE_time:(192000, 1):double | X251RPM:(1, 1):double",192000;192000;1,1770.000,OK
source_domain\cwru_48khz_de\OR021@3_2.mat,"X252_DE_time:(192000, 1):double | X252_FE_time:(192000, 1):double | X252RPM:(1, 1):double",192000;192000;1,1746.000,OK
source_domain\cwru_48khz_de\OR021@3_3.mat,"X253_DE_time:(192000, 1):double | X253_FE_time:(192000, 1):double | X253RPM:(1, 1):double",192000;192000;1,1719.000,OK
source_domain\cwru_48khz_de\OR021@6_0.mat,"X238_DE_time:(192000, 1):double | X238_FE_time:(192000, 1):double | X238RPM:(1, 1):double",192000;192000;1,1796.000,OK
source_domain\cwru_48khz_de\OR021@6_1.mat,"X239_DE_time:(192000, 1):double | X239_FE_time:(192000, 1):double | X239RPM:(1, 1):double",192000;192000;1,1771.000,OK
source_domain\cwru_48khz_de\OR021@6_2.mat,"X240_DE_time:(192000, 1):double | X240_FE_time:(192000, 1):double | X240RPM:(1, 1):double",192000;192000;1,1747.000,OK
source_domain\cwru_48khz_de\OR021@6_3.mat,"X241_DE_time:(192000, 1):double | X241_FE_time:(192000, 1):double | X241RPM:(1, 1):double",192000;192000;1,1719.000,OK
source_domain\cwru_48khz_normal\N_0.mat,"X097_DE_time:(243938, 1):double | X097_FE_time:(243938, 1):double | X097RPM:(1, 1):double",243938;243938;1,1796.000,OK
source_domain\cwru_48khz_normal\N_1_(1772rpm).mat,"X098_DE_time:(384000, 1):double | X098_FE_time:(384000, 1):double",384000;384000,,OK
source_domain\cwru_48khz_normal\N_2_(1750rpm).mat,"X099_DE_time:(384000, 1):double | X099_FE_time:(384000, 1):double",384000;384000,,OK
source_domain\cwru_48khz_normal\N_3.mat,"X100_DE_time:(384000, 1):double | X100_FE_time:(384000, 1):double | X100RPM:(1, 1):double",384000;384000;1,1725.000,OK
target_domain\train_bearing_a_to_p\A.mat,"A:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\B.mat,"B:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\C.mat,"C:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\D.mat,"D:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\E.mat,"E:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\F.mat,"F:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\G.mat,"G:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\H.mat,"H:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\I.mat,"I:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\J.mat,"J:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\K.mat,"K:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\L.mat,"L:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\M.mat,"M:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\N.mat,"N:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\O.mat,"O:(256000, 1):double",256000,,OK
target_domain\train_bearing_a_to_p\P.mat,"P:(256000, 1):double",256000,,OK
